school,latitude,longitude,score,income,funding,enrollment,white,asian,black,hispanic,other,minority
GEORGE I SANCHEZ CHARTER,29.71438,-95.312024,857,51430,13903.91,670,0,0,0.002985075,0.995522388,0.001492537,1
GEORGE I SANCHEZ NORTH,29.863523,-95.378843,990,42522,13903.91,455,0.002197802,0,0.013186813,0.984615385,0,0.997802198
EARLY COLLEGE T-STEM ACADEMY,29.697889,-95.278255,880,51079,15125.4,315,0.003174603,0,0,0.996825397,0,0.996825397
HOUSTON GATEWAY ACADEMY,29.69426,-95.293462,988,52847,7952.45,645,0.015503876,0,0.018604651,0.958139535,0.007751938,0.984496124
SOUTHWEST PUBLIC SCHOOLS COLLEGE &CAREER PREP ACAD,29.723839,-95.499431,791,66971,16263.26,414,0.004830918,0.012077295,0.031400966,0.946859903,0.004830918,0.995169082
PHOENIX SCHOOL AT SOUTHWEST SCHOOLS,29.673028,-95.561523,953,49396,16263.26,137,0.430656934,0.03649635,0.138686131,0.350364964,0.04379562,0.569343066
YES PREP - SOUTHEAST,29.639415,-95.207127,1006,58217,12230.19,875,0.017142857,0.008,0.029714286,0.942857143,0.002285714,0.982857143
YES PREP - NORTH CENTRAL,29.914665,-95.356312,990,47119,12230.19,999,0.012012012,0.002002002,0.019019019,0.956956957,0.01001001,0.987987988
YES PREP - SOUTHWEST,29.605766,-95.44306,959,66510,12230.19,1036,0.004826255,0.000965251,0.048262548,0.944980695,0.000965251,0.995173745
YES PREP - EAST END,29.716689,-95.275271,1002,45025,12230.19,994,0.009054326,0,0.004024145,0.984909457,0.002012072,0.990945674
YES PREP - GULFTON,29.706795,-95.498099,939,47810,12230.19,1045,0.011483254,0.040191388,0.028708134,0.91291866,0.006698565,0.988516746
YES PREP - BRAYS OAKS,29.65716,-95.534241,953,47162,12230.19,1032,0.136627907,0.00872093,0.059108527,0.789728682,0.005813953,0.863372093
YES PREP - WEST,29.715581,-95.553228,1001,45716,12230.19,1000,0.039,0.045,0.074,0.832,0.01,0.961
YES PREP - NORTHSIDE,29.807559,-95.343455,933,39211,12230.19,948,0.011603376,0.001054852,0.069620253,0.911392405,0.006329114,0.988396624
YES PREP - 5TH WARD,29.774066,-95.330075,942,50119,12230.19,940,0.006382979,0,0.058510638,0.932978723,0.00212766,0.993617021
YES PREP - WHITE OAK,29.850948,-95.471669,938,35432,12230.19,984,0.010162602,0.00304878,0.099593496,0.865853659,0.021341463,0.989837398
YES PREP NORTH FOREST,29.898473,-95.291767,937,37009,12230.19,1004,0.008964143,0,0.107569721,0.874501992,0.008964143,0.991035857
YES PREP - SOUTHSIDE,29.68841,-95.336201,900,38071,12230.19,914,0.007658643,0,0.374179431,0.602844639,0.015317287,0.992341357
YES PREP - NORTHLINE,29.871129,-95.375551,966,42522,12230.19,985,0.011167513,0.002030457,0.016243655,0.96751269,0.003045685,0.988832487
HARMONY SCIENCE ACADEMY-HOUSTON,29.681213,-95.557237,1010,49396,12434.15,708,0.09180791,0.121468927,0.175141243,0.604519774,0.007062147,0.90819209
HARMONY SCHOOL OF INNOVATION - HOUSTON,29.681829,-95.557969,1114,49396,12434.15,493,0.062880325,0.117647059,0.221095335,0.588235294,0.010141988,0.937119675
HARMONY SCHOOL OF INGENUITY-HOUSTON,29.6675,-95.4386,974,81008,12434.15,764,0.022251309,0.018324607,0.235602094,0.718586387,0.005235602,0.977748691
HARMONY VIRTUAL ACADEMY,29.675813,-95.478955,989,82852,12434.15,239,0.163179916,0.288702929,0.209205021,0.30125523,0.037656904,0.836820084
HARMONY SCHOOL OF DISCOVERY - HOUSTON,29.863393,-95.682272,1061,80575,11557.33,853,0.141852286,0.169988277,0.233294256,0.433763189,0.021101993,0.858147714
HARMONY SCHOOL OF ADVANCEMENT-HOUSTON,29.9365,-95.4661,1050,57232,11557.33,789,0.073510773,0.105196451,0.160963245,0.646387833,0.013941698,0.926489227
THE PRO-VISION ACADEMY,29.65517,-95.359886,782,37415,17382.87,227,0.004405286,0,0.938325991,0.039647577,0.017621145,0.995594714
BETA ACADEMY,29.624949,-95.219471,1057,58217,8723.42,502,0.121513944,0.029880478,0.079681275,0.758964143,0.009960159,0.878486056
BETA ACADEMY,29.628836,-95.244836,1057,69191,8723.42,984,0.303861789,0.015243902,0.095528455,0.574186992,0.011178862,0.696138211
CARVER H S FOR APPLIED TECH/ENGINEERING/ARTS,29.871511,-95.444445,851,54411,11863.27,747,0.029451138,0,0.520749665,0.435073628,0.014725569,0.970548862
ALDINE H S,29.917093,-95.408739,803,58750,11863.27,2564,0.01599064,0.005460218,0.058112324,0.914976599,0.005460218,0.98400936
NIMITZ H S,30.005136,-95.390484,812,78592,11863.27,2752,0.027252907,0.007994186,0.437136628,0.505087209,0.02252907,0.972747093
EISENHOWER H S,29.881955,-95.47182,835,54411,11863.27,2483,0.011276681,0.013290375,0.253322594,0.712847362,0.009262988,0.988723319
MACARTHUR H S,29.901464,-95.328808,828,47119,11863.27,3573,0.016792611,0.001119507,0.044220543,0.931989924,0.005877414,0.983207389
HOUSTON ACADEMY,29.874599,-95.448094,1034,54411,11863.27,390,0.015384615,0,0.494871795,0.464102564,0.025641026,0.984615385
VICTORY EARLY COLLEGE H S,29.868064,-95.465988,932,54411,11863.27,416,0.019230769,0.016826923,0.175480769,0.764423077,0.024038462,0.980769231
DAVIS H S ALDINE,29.954614,-95.433172,816,52032,11863.27,3264,0.015625,0.020220588,0.284313725,0.668811275,0.011029412,0.984375
HALL SUCCESS ACADEMY,29.936342,-95.355254,689,43725,11863.27,186,0.010752688,0,0.333333333,0.639784946,0.016129032,0.989247312
AVALOS P-TECH SCHOOL,29.901221,-95.34582,960,47119,11863.27,421,0.019002375,0.004750594,0.090261283,0.883610451,0.002375297,0.980997625
BLANSON CTE H S,29.913125,-95.419407,977,57232,11863.27,1277,0.017227878,0.026624902,0.090054816,0.858261551,0.007830854,0.982772122
ELSIK H S,29.709904,-95.603352,856,51070,13241.1,4119,0.025006069,0.077931537,0.247632921,0.635105608,0.014323865,0.974993931
HASTINGS H S,29.709859,-95.597954,874,51070,13241.1,3867,0.036462374,0.085337471,0.249030256,0.614171192,0.014998707,0.963537626
TAYLOR H S,29.694988,-95.632951,1117,64418,13241.1,2856,0.037114846,0.094537815,0.258753501,0.592787115,0.016806723,0.962885154
KERR H S,29.691573,-95.635351,1153,64418,13241.1,806,0.050868486,0.478908189,0.14516129,0.306451613,0.018610422,0.949131514
CYPRESS FALLS H S,29.918978,-95.632025,947,91594,10231.86,2989,0.121110739,0.073268652,0.211776514,0.555704249,0.038139846,0.878889261
CYPRESS CREEK H S,29.965823,-95.565165,962,77397,10231.86,3239,0.165791911,0.092003705,0.296079037,0.415869095,0.030256252,0.834208089
JERSEY VILLAGE H S,29.8822,-95.555483,967,65028,10231.86,3365,0.112332838,0.104606241,0.114115899,0.640713224,0.028231798,0.887667162
LANGHAM CREEK H S,29.881564,-95.677156,980,91594,10231.86,2871,0.17067224,0.085684431,0.186346221,0.528387321,0.028909788,0.82932776
CYPRESS RIDGE H S,29.892546,-95.604681,903,77083,10231.86,2891,0.071947423,0.072293324,0.212729159,0.613974403,0.02905569,0.928052577
NORTH SHORE SENIOR HIGH,29.812,-95.1738,1015,62971,12988.52,4534,0.035288928,0.007278341,0.228936921,0.718791354,0.009704455,0.964711072
GALENA PARK ISD CAREER & TECHNICAL ECHS,29.810014,-95.181706,991,62971,12988.52,494,0.044534413,0.002024291,0.05465587,0.890688259,0.008097166,0.955465587
AUSTIN H S,29.732004,-95.331403,837,51430,12030.64,1286,0.01088647,0.00155521,0.059097978,0.923794712,0.00466563,0.98911353
NORTHSIDE H S,29.783425,-95.358661,837,83148,12030.64,1141,0.012269939,0.000876424,0.143733567,0.838737949,0.004382121,0.987730061
FURR H S,29.779486,-95.249847,799,47060,12030.64,1025,0.015609756,0,0.172682927,0.807804878,0.003902439,0.984390244
DEBAKEY H S FOR HEALTH PROF,29.705215,-95.408492,1292,77336,12030.64,922,0.139913232,0.318872017,0.155097614,0.345986985,0.040130152,0.860086768
JONES FUTURES ACADEMY,29.674981,-95.340951,867,38071,12030.64,317,0.006309148,0.003154574,0.324921136,0.659305994,0.006309148,0.993690852
KASHMERE H S,29.82269,-95.315479,777,38357,12030.64,640,0.0109375,0,0.5109375,0.471875,0.00625,0.9890625
LAMAR H S,29.740249,-95.426211,989,116650,12030.64,3078,0.213450292,0.056855101,0.287849253,0.40545809,0.036387264,0.786549708
WISDOM H S,29.728631,-95.499494,787,66971,12030.64,2306,0.069384215,0.085429315,0.115351258,0.718993929,0.010841284,0.930615785
LONG ACADEMY,29.704341,-95.497999,983,47810,12030.64,715,0.044755245,0.144055944,0.109090909,0.68951049,0.012587413,0.955244755
MADISON H S,29.629169,-95.435617,790,59688,12030.64,1855,0.010242588,0.004851752,0.35148248,0.625876011,0.00754717,0.989757412
MILBY H S,29.710873,-95.277294,835,45025,12030.64,2179,0.004589261,0.005507113,0.034878385,0.951812758,0.003212483,0.995410739
KINDER H S FOR PERFORMING AND VISUAL ARTS,29.757108,-95.360453,1199,86394,12030.64,769,0.342002601,0.096228869,0.191157347,0.299089727,0.071521456,0.657997399
HEIGHTS H S,29.795384,-95.3935,972,143229,12030.64,2521,0.130503768,0.019040063,0.097976993,0.733835779,0.018643395,0.869496232
SCARBOROUGH H S,29.829579,-95.470993,776,58728,12030.64,725,0.019310345,0.005517241,0.140689655,0.823448276,0.011034483,0.980689655
SHARPSTOWN H S,29.684105,-95.516886,792,47810,12030.64,1803,0.016084304,0.065446478,0.125901276,0.78202995,0.010537992,0.983915696
SHARPSTOWN INTERNATIONAL SCHOOL,29.69885,-95.531716,1006,45716,12030.64,1297,0.01387818,0.077872012,0.047802621,0.856592136,0.00385505,0.98612182
STERLING H S,29.635087,-95.321432,817,56747,12030.64,1341,0.005965697,0.004474273,0.516778523,0.461595824,0.011185682,0.994034303
